# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock:ppp'
# Event count (approx.): 4119250000
#
# Overhead  Command          Shared Object                       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     7.56%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::copyFrom(icu_72::UnicodeString const&, signed char)
     5.80%  countwords_par_  libc.so.6                           [.] __memmove_avx_unaligned_erms
     4.36%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::~UnicodeString()
     3.67%  countwords_par_  libc.so.6                           [.] __strlen_avx2
     2.86%  countwords_par_  libc.so.6                           [.] malloc
     2.85%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::releaseArray()
     2.59%  countwords_par_  libc.so.6                           [.] pthread_mutex_lock@@GLIBC_2.2.5
     2.00%  countwords_par_  libc.so.6                           [.] _int_free
     1.94%  countwords_par_  libc.so.6                           [.] _int_malloc
     1.75%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormatSymbols::dispose()
     1.65%  countwords_par_  libc.so.6                           [.] pthread_mutex_unlock@@GLIBC_2.2.5
     1.59%  countwords_par_  libc.so.6                           [.] __strcpy_chk
     1.40%  countwords_par_  libc.so.6                           [.] __strcmp_avx2
     1.40%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormatSymbols::assignArray(icu_72::UnicodeString*&, int&, icu_72::UnicodeString const*, int)
     1.38%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::LocalizedNumberFormatter::lnfCopyHelper(icu_72::number::LocalizedNumberFormatter const&, UErrorCode&)
     1.37%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Replaceable::~Replaceable()
     1.11%  countwords_par_  libc.so.6                           [.] cfree@GLIBC_2.2.5
     1.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormatSymbols::~DecimalFormatSymbols()
     0.90%  countwords_par_  libc.so.6                           [.] __strchr_avx2
     0.90%  countwords_par_  libstdc++.so.6.0.32                 [.] std::locale::_Impl::~_Impl()
     0.88%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormatSymbols::operator=(icu_72::DecimalFormatSymbols const&)
     0.76%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::operator=(icu_72::Locale const&)
     0.76%  countwords_par_  libstdc++.so.6.0.32                 [.] std::locale::_Impl::_Impl(std::locale::_Impl const&, unsigned long)
     0.67%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::CharString::append(char, UErrorCode&)
     0.64%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::init(char const*, signed char)
