Threads,Min time,Average time,Standard Deviation
1,187.0,218.56,38.33196835514448
2,94.0,102.38,14.119103757288949
3,65.0,71.04,2.300285445616072
4,78.0,81.49,5.538652062250044
5,42.0,45.32,2.8351331182115236
6,33.0,43.12,7.271474639599827
7,36.0,39.63,2.038294989604416
8,32.0,37.52,2.5325357596167075
9,30.0,36.47,2.0668377250810432
10,29.0,34.62,1.9004518335693676
11,30.0,34.78,1.7208172829246344
12,28.0,33.88,1.8272903160116345
13,28.0,33.77,1.8193960591916265
14,28.0,32.74,1.7443704545847716
15,28.0,33.45,1.7659804270395718
16,28.0,32.95,1.5851265762160014
