Threads,Min time,Average time,Standard Deviation
1,181.0,187.44,5.386702670146707
2,94.0,96.9,3.5090071691478935
3,65.0,68.31,3.02078657226086
4,49.0,51.41,1.8040078836979743
5,43.0,47.28,2.9373251076240754
6,34.0,40.44,4.214740846604973
7,33.0,38.69,2.1959328796940065
8,31.0,36.79,2.31505830369236
9,30.0,33.85,1.6719612870681382
10,29.0,34.24,2.6174241327895427
11,28.0,33.17,1.6820802416632625
12,28.0,33.25,1.9247195781581936
13,28.0,36.78,5.279233185823774
14,27.0,37.05,4.967317427368863
15,28.0,36.75,5.384930338219311
16,28.0,35.25,3.7615143092895313
