# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cpu-clock:ppp'
# Event count (approx.): 5202250000
#
# Overhead  Command         Shared Object              Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ..............  .........................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    13.12%  countwords_par  libicuuc.so.72.1           [.] icu_72::RuleBasedBreakIterator::handleNext()
     6.71%  countwords_par  countwords_par             [.] count_words(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     6.70%  countwords_par  libicuuc.so.72.1           [.] ucnv_getNextUChar_72
     5.83%  countwords_par  libicuuc.so.72.1           [.] ucnv_createConverterFromSharedData_72
     3.65%  countwords_par  libstdc++.so.6.0.32        [.] std::_Hash_bytes(void const*, unsigned long, unsigned long)
     3.24%  countwords_par  [kernel.kallsyms]          [k] __do_softirq
     3.10%  countwords_par  countwords_par             [.] std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     2.86%  countwords_par  libc.so.6                  [.] __memmove_avx_unaligned_erms
     2.59%  countwords_par  libc.so.6                  [.] malloc
     2.40%  countwords_par  libicuuc.so.72.1           [.] ucnv_close_72
     2.20%  countwords_par  libc.so.6                  [.] _int_free
     2.19%  countwords_par  [kernel.kallsyms]          [k] do_user_addr_fault
     2.05%  countwords_par  [kernel.kallsyms]          [k] _raw_spin_unlock_irqrestore
     1.82%  countwords_par  libicuuc.so.72.1           [.] u_countChar32_72
     1.79%  countwords_par  [kernel.kallsyms]          [k] clear_page_orig
     1.75%  countwords_par  libicuuc.so.72.1           [.] ucnv_loadSharedData_72
     1.53%  countwords_par  countwords_par             [.] binary_filler(ThreadQueue<std::filesystem::__cxx11::directory_entry>&, ThreadQueue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&, std::chrono::duration<long, std::ratio<1l, 1000000000l> >&)
     1.36%  countwords_par  libc.so.6                  [.] __memcmp_avx2_movbe
     1.26%  countwords_par  libicuuc.so.72.1           [.] ucnv_createConverter_72
     1.24%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d77a
     0.99%  countwords_par  libc.so.6                  [.] cfree@GLIBC_2.2.5
     0.96%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb4e
     0.93%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000ec87b
     0.87%  countwords_par  libicuuc.so.72.1           [.] icu_72::RuleBasedBreakIterator::BreakCache::populateFollowing()
     0.84%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000007a236
     0.81%  countwords_par  libicuuc.so.72.1           [.] icu_72::RuleBasedBreakIterator::next()
     0.74%  countwords_par  [kernel.kallsyms]          [k] finish_task_switch.isra.0
     0.71%  countwords_par  [kernel.kallsyms]          [k] exit_to_user_mode_loop
     0.69%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fc0f
     0.69%  countwords_par  libicuuc.so.72.1           [.] icu_72::RuleBasedBreakIterator::getRuleStatusVec(int*, int, UErrorCode&)
     0.68%  countwords_par  libicuuc.so.72.1           [.] icu_72::RuleBasedBreakIterator::BreakCache::addFollowing(int, int, icu_72::RuleBasedBreakIterator::BreakCache::UpdatePositionValues)
     0.67%  countwords_par  libicuuc.so.72.1           [.] ucnv_fromUnicode_UTF8_72
     0.62%  countwords_par  libicuuc.so.72.1           [.] icu_72::UnicodeString::countChar32(int, int) const
     0.62%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000cd292
     0.59%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000ec877
     0.56%  countwords_par  libicuuc.so.72.1           [.] icu_72::Normalizer2Impl::decompose(char16_t const*, char16_t const*, icu_72::ReorderingBuffer*, UErrorCode&) const
     0.53%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb63
     0.44%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d77e
     0.43%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000ec892
     0.38%  countwords_par  libicuuc.so.72.1           [.] ucnv_setToUCallBack_72
     0.34%  countwords_par  libc.so.6                  [.] __memset_avx2_unaligned_erms
     0.29%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb89
     0.29%  countwords_par  libicuuc.so.72.1           [.] ucnv_setFromUCallBack_72
     0.29%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000cd260
     0.29%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000ed606
     0.26%  countwords_par  libicuuc.so.72.1           [.] ucnv_open_72
     0.25%  countwords_par  [kernel.kallsyms]          [k] _compound_head
     0.25%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fbb6
     0.25%  countwords_par  libicuuc.so.72.1           [.] uprv_malloc_72
     0.24%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb57
     0.24%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000cd29c
     0.22%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000cd271
     0.22%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d782
     0.22%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000cd2af
     0.21%  countwords_par  libicuuc.so.72.1           [.] UCNV_FROM_U_CALLBACK_SKIP_72
     0.20%  countwords_par  libicuuc.so.72.1           [.] icu_72::RuleBasedBreakIterator::BreakCache::nextOL()
     0.19%  countwords_par  libc.so.6                  [.] _int_malloc
     0.19%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000ed718
     0.19%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ee26
     0.19%  countwords_par  libicuuc.so.72.1           [.] uprv_free_72
     0.18%  countwords_par  countwords_par             [.] void std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_assign<std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> > const&, std::__detail::_ReuseOrAllocNode<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, true> > > >(std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> > const&, std::__detail::_ReuseOrAllocNode<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, true> > > const&)
     0.18%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000007a23c
     0.18%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000ed5f7
     0.17%  countwords_par  libboost_locale.so.1.74.0  [.] ucnv_getNextUChar_72@plt
     0.16%  countwords_par  [kernel.kallsyms]          [k] get_mem_cgroup_from_mm
     0.16%  countwords_par  libc.so.6                  [.] __GI___libc_write
     0.16%  countwords_par  countwords_par             [.] void std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_assign<std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> > const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, true> > > >(std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> > const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, true> > > const&) [clone .isra.0]
     0.16%  countwords_par  libicuuc.so.72.1           [.] ucptrie_getValueWidth_72
     0.16%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000cd285
     0.15%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fbc7
     0.15%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fc03
     0.15%  countwords_par  libicuuc.so.72.1           [.] UCNV_TO_U_CALLBACK_SKIP_72
     0.15%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fc00
     0.14%  countwords_par  [kernel.kallsyms]          [k] mtree_range_walk
     0.14%  countwords_par  libc.so.6                  [.] malloc_consolidate
     0.14%  countwords_par  libicuuc.so.72.1           [.] icu_72::CheckedArrayByteSink::Append(char const*, int)
     0.13%  countwords_par  [kernel.kallsyms]          [k] __handle_mm_fault
     0.13%  countwords_par  [kernel.kallsyms]          [k] __alloc_pages
     0.13%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002eef7
     0.13%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d757
     0.12%  countwords_par  [kernel.kallsyms]          [k] charge_memcg
     0.12%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ee62
     0.12%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb5e
     0.12%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb81
     0.11%  countwords_par  [kernel.kallsyms]          [k] __rcu_read_lock
     0.11%  countwords_par  libboost_locale.so.1.74.0  [.] ucnv_close_72@plt
     0.11%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d8b5
     0.11%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb7c
     0.11%  countwords_par  libicuuc.so.72.1           [.] malloc@plt
     0.11%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ee20
     0.11%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ee72
     0.10%  countwords_par  countwords_par             [.] memcpy@plt
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ef06
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d765
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d797
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d7c1
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d7dd
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fba0
     0.10%  countwords_par  [kernel.kallsyms]          [k] __mod_memcg_lruvec_state
     0.10%  countwords_par  [kernel.kallsyms]          [k] vma_alloc_folio
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ee48
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d827
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d898
     0.10%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fbf0
     0.10%  countwords_par  libicuuc.so.72.1           [.] free@plt
     0.10%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000cd5c0
     0.10%  countwords_par  libicuuc.so.72.1           [.] 0x00000000000ed612
     0.09%  countwords_par  countwords_par             [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_rehash(unsigned long, unsigned long const&)
     0.09%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fbb1
     0.09%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fc60
     0.09%  countwords_par  [kernel.kallsyms]          [k] __schedule
     0.09%  countwords_par  [kernel.kallsyms]          [k] _raw_spin_lock
     0.09%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002eece
     0.09%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb49
     0.09%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fb6a
     0.08%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ee57
     0.08%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ef24
     0.08%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d7ad
     0.08%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004d7d3
     0.08%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fc65
     0.08%  countwords_par  [kernel.kallsyms]          [k] down_read_trylock
     0.08%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000002ef15
     0.08%  countwords_par  libboost_locale.so.1.74.0  [.] 0x000000000004fba3
     0.07%  countwords_par  [kernel.kallsyms]          [k] get_page_from_freelist
